Mod:Item:MetaData, Localized Name
ThermalFoundation:tool.axeInvar, Invar Axe
ThermalFoundation:tool.hoeInvar, Invar Hoe
ThermalFoundation:tool.shearsInvar, Invar Shears
ThermalFoundation:tool.fishingRodInvar, Invar Fishing Rod
ThermalFoundation:tool.sickleInvar, Invar Sickle
ThermalFoundation:tool.bowInvar, Invar Reinforced Bow
ThermalFoundation:armor.helmetBronze, Bronze Helmet
ThermalFoundation:armor.plateBronze, Bronze Chestplate
ThermalFoundation:armor.legsBronze, Bronze Leggings
ThermalFoundation:armor.bootsBronze, Bronze Boots
ThermalFoundation:tool.swordBronze, Bronze Sword
ThermalFoundation:tool.shovelBronze, Bronze Shovel
ThermalFoundation:tool.pickaxeBronze, Bronze Pickaxe
ThermalFoundation:tool.axeBronze, Bronze Axe
ThermalFoundation:tool.hoeBronze, Bronze Hoe
ThermalFoundation:tool.shearsBronze, Bronze Shears
ThermalFoundation:tool.fishingRodBronze, Bronze Fishing Rod
ThermalFoundation:tool.sickleBronze, Bronze Sickle
ThermalFoundation:tool.bowBronze, Bronze Reinforced Bow
ThermalFoundation:armor.helmetPlatinum, Shiny Helmet
ThermalFoundation:armor.platePlatinum, Shiny Chestplate
ThermalFoundation:armor.legsPlatinum, Shiny Leggings
ThermalFoundation:armor.bootsPlatinum, Shiny Boots
ThermalFoundation:tool.swordPlatinum, Shiny Sword
ThermalFoundation:tool.shovelPlatinum, Shiny Shovel
ThermalFoundation:tool.pickaxePlatinum, Shiny Pickaxe
ThermalFoundation:tool.axePlatinum, Shiny Axe
ThermalFoundation:tool.hoePlatinum, Shiny Hoe
ThermalFoundation:tool.shearsPlatinum, Shiny Shears
ThermalFoundation:tool.fishingRodPlatinum, Shiny Fishing Rod
ThermalFoundation:tool.sicklePlatinum, Shiny Sickle
ThermalFoundation:tool.bowPlatinum, Shiny Reinforced Bow
ThermalExpansion:wrench:0, Crescent Hammer
ThermalExpansion:tool.battleWrenchInvar, BattleWrench
ThermalExpansion:igniter, item.thermalexpansion.tool.name
ThermalExpansion:chiller, item.thermalexpansion.tool.name
ThermalExpansion:pump, item.thermalexpansion.tool.name
ThermalExpansion:transfuser, item.thermalexpansion.tool.name
ThermalExpansion:capacitor:0, Creative Flux Capacitor
ThermalExpansion:capacitor:1, Tuberous Flux Capacitor
ThermalExpansion:capacitor:2, Leadstone Flux Capacitor
ThermalExpansion:capacitor:2, Leadstone Flux Capacitor
ThermalExpansion:capacitor:3, Hardened Flux Capacitor
ThermalExpansion:capacitor:3, Hardened Flux Capacitor
ThermalExpansion:capacitor:4, Redstone Flux Capacitor
ThermalExpansion:capacitor:4, Redstone Flux Capacitor
ThermalExpansion:capacitor:5, Resonant Flux Capacitor
ThermalExpansion:capacitor:5, Resonant Flux Capacitor
ThermalExpansion:satchel:0, Creative Satchel
ThermalExpansion:satchel:1, Satchel
ThermalExpansion:satchel:2, Hardened Satchel
ThermalExpansion:satchel:3, Reinforced Satchel
ThermalExpansion:satchel:4, Resonant Satchel
ThermalExpansion:florb:0, Invalid Item (Destroy) (Empty§r)
ThermalExpansion:florb:1, Invalid Item (Destroy) (Empty§r)
BigReactors:BRIngot:0, Yellorium Ingot
BigReactors:BRIngot:1, Cyanite Ingot
BigReactors:BRIngot:2, Graphite Bar
BigReactors:BRIngot:3, Blutonium Ingot
BigReactors:BRIngot:4, Yellorium Dust
BigReactors:BRIngot:5, Cyanite Dust
BigReactors:BRIngot:6, Graphite Dust
BigReactors:BRIngot:7, Blutonium Dust
BigReactors:BRIngot:8, Ludicrite Ingot
BigReactors:BRIngot:9, Ludicrite Dust
BigReactors:bucketYellorium, Fluid Yellorium Bucket
BigReactors:bucketCyanite, Fluid Cyanite Bucket
BigReactors:BRDebugTool, BeefTronic™ Diagnostics Tool
Mantle:mantleBook:0, Mantle:item.mantle.manual.beginner.name
Mantle:mantleBook:1, Mantle:item.mantle.manual.toolstation.name
Mantle:mantleBook:2, Mantle:item.mantle.manual.smeltery.name
Mantle:mantleBook:3, Mantle:item.mantle.manual.diary.name
Natura:natura.spawnegg:0, Spawn Imp
Natura:natura.spawnegg:1, Spawn Heatscar Spider
Natura:natura.spawnegg:2, Spawn Nitro Creeper
Natura:natura.spawnegg:3, Spawn Baby Heatscar Spider
Natura:barleyFood:0, Barley
Natura:barleyFood:1, Barley Flour
Natura:barleyFood:2, Wheat Flour
Natura:barleyFood:3, Cotton
Natura:barleyFood:4, Sulfur
Natura:barleyFood:5, Ghostwood Fletching
Natura:barleyFood:6, Imp Leather
Natura:barleyFood:7, Flamestring
Natura:barleyFood:8, Blue Dye
Natura:barley.seed:0, Barley Seeds
Natura:barley.seed:1, Cotton Seeds
Natura:waterdrop, Cactus Juice
Natura:wheatBag, Wheat Seed Bag
Natura:barleyBag, Barley Seed Bag
Natura:potatoBag, Potato Bag
Natura:carrotBag, Carrot Bag
Natura:wartBag, Nether Wart Bag
Natura:cottonBag, Cotton Seed Bag
Natura:boneBag, Bonemeal Bag
Natura:berry.nether:0, Blightberry
Natura:berry.nether:1, Duskberry
Natura:berry.nether:2, Skyberry
Natura:berry.nether:3, Stingberry
Natura:berry:0, Raspberry
Natura:berry:1, Blueberry
Natura:berry:2, Blackberry
Natura:berry:3, Maloberry
Natura:berryMedley:0, Berry Medley
Natura:saguaro.fruit, Saguaro Fruit
Natura:redwoodDoorItem:0, Redwood Door
Natura:redwoodDoorItem:1, Eucalyptus Door
Natura:redwoodDoorItem:2, Hopseed Door
Natura:redwoodDoorItem:3, Sakura Door
Natura:redwoodDoorItem:4, Ghostwood Door
Natura:redwoodDoorItem:5, Bloodwood Door
Natura:redwoodDoorItem:6, Redwood Bark Door
Natura:Natura.netherfood:0, Potash Apple
Natura:natura.stick:0, Stick
Natura:natura.stick:1, Stick
Natura:natura.stick:2, Stick
Natura:natura.stick:3, Stick
Natura:natura.stick:4, Stick
Natura:natura.stick:5, Stick
Natura:natura.stick:6, Stick
Natura:natura.stick:7, Stick
Natura:natura.stick:8, Stick
Natura:natura.stick:9, Stick
Natura:natura.stick:10, Stick
Natura:natura.stick:11, Stick
Natura:natura.stick:12, Stick
Natura:natura.sword.ghostwood, Ghostwood Sword
Natura:natura.pickaxe.ghostwood, Ghostwood Pickaxe
Natura:natura.shovel.ghostwood, Ghostwood Shovel
Natura:natura.axe.ghostwood, Ghostwood Hatchet
Natura:natura.sword.bloodwood, Bloodwood Sword
Natura:natura.pickaxe.bloodwood, Bloodwood Pickaxe
Natura:natura.shovel.bloodwood, Bloodwood Shovel
Natura:natura.axe.bloodwood, Bloodwood Hatchet
Natura:natura.sword.darkwood, Darkwood Sword
Natura:natura.pickaxe.darkwood, Darkwood Pickaxe
Natura:natura.shovel.darkwood, Darkwood Shovel
Natura:natura.axe.darkwood, Darkwood Hatchet
Natura:natura.sword.fusewood, Fusewood Sword
Natura:natura.pickaxe.fusewood, Fusewood Pickaxe
Natura:natura.shovel.fusewood, Fusewood Shovel
Natura:natura.axe.fusewood, Fusewood Hatchet
Natura:natura.sword.netherquartz, Quartz Sword
Natura:natura.pickaxe.netherquartz, Quartz Pickaxe
Natura:natura.shovel.netherquartz, Quartz Shovel
Natura:natura.axe.netherquartz, Quartz Hatchet
Natura:natura.kama.netherquartz, Quartz Kama
Natura:natura.kama.ghostwood, Ghostwood Kama
Natura:natura.kama.bloodwood, Bloodwood Kama
Natura:natura.kama.darkwood, Darkwood Kama
Natura:natura.kama.fusewood, Fusewood Kama
Natura:natura.bow.ghostwood, Ghostwood Bow
Natura:natura.bow.bloodwood, Bloodwood Bow
Natura:natura.bow.darkwood, Darkwood Bow
Natura:natura.bow.fusewood, Fusewood Bow
Natura:natura.armor.imphelmet, Impskin Helmet
Natura:natura.armor.impjerkin, Impskin Jerkin
Natura:natura.armor.impleggings, Impskin Leggings
Natura:natura.armor.impboots, Impskin Boots
Natura:natura.flintandblaze, Flint and Blaze
Natura:impmeat:0, Raw Imphide
Natura:impmeat:1, Cooked Imphide
Natura:natura.emptybowl, item.natura.emptybowl.name
Natura:natura.stewbowl, item.natura.stewbowl.name
BiomesOPlenty:food:0, Berry
BiomesOPlenty:food:1, Shroom Powder
BiomesOPlenty:food:2, Wild Carrots
BiomesOPlenty:food:3, Peach
BiomesOPlenty:food:4, Fruit Salad
BiomesOPlenty:food:5, Veggie Salad
BiomesOPlenty:food:6, Shroom Salad
BiomesOPlenty:food:8, Persimmon
BiomesOPlenty:food:9, Filled Honeycomb
BiomesOPlenty:food:10, Ambrosia
BiomesOPlenty:food:11, Turnip
BiomesOPlenty:food:12, Pear
BiomesOPlenty:food:13, Bowl of Rice
BiomesOPlenty:turnipSeeds, Turnip Seeds
BiomesOPlenty:misc:0, Mud Brick
BiomesOPlenty:misc:1, Pile of Ashes
BiomesOPlenty:misc:2, Empty Honeycomb
BiomesOPlenty:misc:3, Chunk of Flesh
BiomesOPlenty:misc:4, Celestial Crystal Shard
BiomesOPlenty:misc:5, Blue Dye
BiomesOPlenty:misc:6, Brown Dye
BiomesOPlenty:misc:7, Green Dye
BiomesOPlenty:misc:8, White Dye
BiomesOPlenty:misc:9, Black Dye
BiomesOPlenty:misc:10, Ghastly Soul
BiomesOPlenty:misc:11, Pixie Dust
BiomesOPlenty:misc:12, Ichor
BiomesOPlenty:misc:13, Pinecone
BiomesOPlenty:gems:0, Ender Amethyst
BiomesOPlenty:gems:1, Ruby
BiomesOPlenty:gems:2, Peridot
BiomesOPlenty:gems:3, Topaz
BiomesOPlenty:gems:4, Tanzanite
BiomesOPlenty:gems:5, Malachite
BiomesOPlenty:gems:6, Sapphire
BiomesOPlenty:gems:7, Amber
BiomesOPlenty:mudball, Mud Ball
BiomesOPlenty:jarEmpty, Empty Jar
BiomesOPlenty:jarFilled:0, Honey Jar
BiomesOPlenty:jarFilled:1, Poison Extract Jar
BiomesOPlenty:jarFilled:2, Pixie Jar
BiomesOPlenty:dartBlower, Dart Blower
BiomesOPlenty:dart:0, Dart
BiomesOPlenty:dart:1, Poison Dart
BiomesOPlenty:ancientStaff:0, Ancient Staff
BiomesOPlenty:ancientStaff:1, Ancient Staff Handle
BiomesOPlenty:ancientStaff:2, Ancient Staff Pole
BiomesOPlenty:ancientStaff:3, Ancient Staff Topper
BiomesOPlenty:ancientStaff:4, Depleted Ancient Staff
BiomesOPlenty:enderporter, Enderporter
BiomesOPlenty:bopBucket, item.bopBucket.name
BiomesOPlenty:record_wanderer, Music Disc
BiomesOPlenty:record_corruption, Music Disc
BiomesOPlenty:biomeFinder, Biome Radar
BiomesOPlenty:biomeEssence, Biome Essence
BiomesOPlenty:swordMud, Muddy Sword
BiomesOPlenty:shovelMud, Muddy Shovel
BiomesOPlenty:pickaxeMud, Muddy Pickaxe
BiomesOPlenty:axeMud, Muddy Axe
BiomesOPlenty:hoeMud, Muddy Hoe
BiomesOPlenty:swordAmethyst, Amethyst Sword
BiomesOPlenty:shovelAmethyst, Amethyst Shovel
BiomesOPlenty:pickaxeAmethyst, Amethyst Pickaxe
BiomesOPlenty:axeAmethyst, Amethyst Axe
BiomesOPlenty:hoeAmethyst, Amethyst Hoe
BiomesOPlenty:scytheWood, Wooden Scythe
BiomesOPlenty:scytheStone, Stone Scythe
BiomesOPlenty:scytheIron, Iron Scythe
BiomesOPlenty:scytheGold, Golden Scythe
BiomesOPlenty:scytheDiamond, Diamond Scythe
BiomesOPlenty:scytheMud, Mud Scythe
BiomesOPlenty:scytheAmethyst, Amethyst Scythe
BiomesOPlenty:helmetMud, Muddy Helmet
BiomesOPlenty:chestplateMud, Muddy Chestplate
BiomesOPlenty:leggingsMud, Muddy Leggings
BiomesOPlenty:bootsMud, Muddy Boots
BiomesOPlenty:helmetAmethyst, Amethyst Helmet
BiomesOPlenty:chestplateAmethyst, Amethyst Chestplate
BiomesOPlenty:leggingsAmethyst, Amethyst Leggings
BiomesOPlenty:bootsAmethyst, Amethyst Boots
BiomesOPlenty:flowerBand:0, Dull Flower Band
BiomesOPlenty:flowerBand:1, Plain Flower Band
BiomesOPlenty:flowerBand:2, Lush Flower Band
BiomesOPlenty:flowerBand:3, Exotic Flower Band
BiomesOPlenty:flippers, Flippers
BiomesOPlenty:wadingBoots, Wading Boots
Forestry:fertilizerBio, Compost
Forestry:fertilizerCompound, Fertilizer
Forestry:apatite, Apatite
Forestry:researchNote, %s's Notes
Forestry:ingotCopper, Copper Ingot
Forestry:ingotTin, Tin Ingot
Forestry:ingotBronze, Bronze Ingot
Forestry:wrench, Wrench
Forestry:pipette, Pipette
Forestry:sturdyMachine, Sturdy Casing
Forestry:hardenedMachine, Hardened Casing
Forestry:impregnatedCasing, Impregnated Casing
Forestry:craftingMaterial:0, Pulsating Dust
Forestry:craftingMaterial:1, Pulsating Mesh
Forestry:craftingMaterial:2, Silk Wisp
Forestry:craftingMaterial:3, Woven Silk
Forestry:craftingMaterial:4, Dissipation Charge
Forestry:craftingMaterial:5, Ice Shard
Forestry:craftingMaterial:6, Scented Paneling
Forestry:naturalistHelmet, Spectacles
Forestry:peat, Peat
Forestry:ash, Ash
Forestry:bituminousPeat, Bituminous Peat
Forestry:gearBronze, Bronze Gear
Forestry:gearCopper, Copper Gear
Forestry:gearTin, Tin Gear
Forestry:chipsets:0, Basic Circuit Board
Forestry:chipsets:1, Enhanced Circuit Board
Forestry:chipsets:2, Refined Circuit Board
Forestry:chipsets:3, Intricate Circuit Board
Forestry:solderingIron, Soldering Iron
Forestry:carton, Carton
Forestry:oakStick, Impregnated Stick
Forestry:woodPulp, Wood Pulp
Forestry:brokenBronzePickaxe, Broken Pickaxe
Forestry:brokenBronzeShovel, Broken Shovel
Forestry:bronzePickaxe, Survivalist's Pickaxe
Forestry:bronzeShovel, Survivalist's Shovel
Forestry:kitShovel, Shovel Kit
Forestry:kitPickaxe, Pickaxe Kit
Forestry:mouldyWheat, Mouldy Wheat
Forestry:decayingWheat, Decaying Wheat
Forestry:mulch, Mulch
Forestry:iodineCapsule, Iodine Capsule
Forestry:phosphor, Phosphor
Forestry:beeswax, Beeswax
Forestry:refractoryWax, Refractory Wax
Forestry:fruits:0, Cherry
Forestry:fruits:1, Walnut
Forestry:fruits:2, Chestnut
Forestry:fruits:3, Lemon
Forestry:fruits:4, Plum
Forestry:fruits:5, Date
Forestry:fruits:6, Papaya
Forestry:canEmpty, Can
Forestry:waxCapsule, Wax Capsule
Forestry:refractoryEmpty, Refractory Capsule
Forestry:canEthanol, Ethanol Can
Forestry:waxCapsuleEthanol, Ethanol Capsule
Forestry:refractoryEthanol, Ethanol Capsule
Forestry:bucketEthanol, Ethanol Bucket
Forestry:canBiomass, Biomass Can
Forestry:waxCapsuleBiomass, Biomass Capsule
Forestry:refractoryBiomass, Biomass Capsule
Forestry:bucketBiomass, Biomass Bucket
Forestry:bucketGlass, Molten Glass Bucket
Forestry:canHoney, Honey Can
Forestry:waxCapsuleHoney, Honey Capsule
Forestry:refractoryHoney, Honey Capsule
Forestry:bucketHoney, Honey Bucket
Forestry:canIce, Ice Can
Forestry:waxCapsuleIce, Ice Capsule
Forestry:refractoryIce, Ice Capsule
Forestry:bucketIce, Crushed Ice Bucket
Forestry:canJuice, Juice Can
Forestry:waxCapsuleJuice, Juice Capsule
Forestry:refractoryJuice, Juice Capsule
Forestry:bucketJuice, Juice Bucket
Forestry:canSeedOil, Seed Oil Can
Forestry:waxCapsuleSeedOil, Seed Oil Capsule
Forestry:refractorySeedOil, Seed Oil Capsule
Forestry:bucketSeedOil, Seed Oil Bucket
Forestry:canShortMead, Short Mead Can
Forestry:waxCapsuleShortMead, Short Mead Capsule
Forestry:refractoryShortMead, Short Mead Capsule
Forestry:bucketShortMead, Short Mead Bucket
Forestry:canMead, Mead Can
Forestry:waxCapsuleMead, Mead Capsule
Forestry:refractoryMead, Mead Capsule
Forestry:bucketMead, Mead Bucket
Forestry:canWater, Water Can
Forestry:waxCapsuleWater, Water Capsule
Forestry:refractoryWater, Water Capsule
Forestry:canLava, Lava Can
Forestry:refractoryLava, Lava Capsule
Forestry:beealyzer, Beealyzer
Forestry:habitatLocator, Habitat Locator
Forestry:imprinter, Imprinter
Forestry:cart.beehouse:0, Minecart with Bee House
Forestry:cart.beehouse:1, Minecart with Apiary
Forestry:frameUntreated, Untreated Frame
Forestry:frameImpregnated, Impregnated Frame
Forestry:frameProven, Proven Frame
Forestry:honeyDrop:0, Honey Drop
Forestry:pollen:0, Pollen Cluster
Forestry:pollen:1, Crystalline Pollen Cluster
Forestry:propolis:0, Propolis
Forestry:propolis:1, Sticky Propolis
Forestry:propolis:3, Silky Propolis
Forestry:honeydew, Honeydew
Forestry:royalJelly, Royal Jelly
Forestry:waxCast, Wax Cast
Forestry:beeCombs:0, Honey Comb
Forestry:beeCombs:2, Simmering Comb
Forestry:beeCombs:3, Stringy Comb
Forestry:beeCombs:4, Frozen Comb
Forestry:beeCombs:5, Dripping Comb
Forestry:beeCombs:6, Silky Comb
Forestry:beeCombs:7, Parched Comb
Forestry:beeCombs:15, Mossy Comb
Forestry:beeCombs:16, Mellow Comb
Forestry:apiaristHelmet, Apiarist's Hat
Forestry:apiaristChest, Apiarist's Shirt
Forestry:apiaristLegs, Apiarist's Pants
Forestry:apiaristBoots, Apiarist's Shoes
Forestry:scoop, Scoop
Forestry:treealyzer, Treealyzer
Forestry:grafter, Grafter
Forestry:grafterProven, Proven Grafter
Forestry:honeyedSlice, Honeyed Slice
Forestry:beverage, item.for.beverage.name
Forestry:ambrosia, Ambrosia
Forestry:honeyPot, Honey Pot
Forestry:infuser, Infuser
Forestry:flutterlyzer, Flutterlyzer
Forestry:stamps:0, Stamp (1n)
Forestry:stamps:1, Stamp (2n)
Forestry:stamps:2, Stamp (5n)
Forestry:stamps:3, Stamp (10n)
Forestry:stamps:4, Stamp (20n)
Forestry:stamps:5, Stamp (50n)
Forestry:stamps:6, Stamp (100n)
Forestry:letters, Letter
Forestry:catalogue, Catalogue
Forestry:crate, Crate
Forestry:apiaristBag, Apiarist's Backpack
Forestry:lepidopteristBag, Lepidopterist's Backpack
Forestry:minerBag, Miner's Backpack
Forestry:minerBagT2, Miner's Woven Backpack
Forestry:diggerBag, Digger's Backpack
Forestry:diggerBagT2, Digger's Woven Backpack
Forestry:foresterBag, Forester's Backpack
Forestry:foresterBagT2, Forester's Woven Backpack
Forestry:hunterBag, Hunter's Backpack
Forestry:hunterBagT2, Hunter's Woven Backpack
Forestry:adventurerBag, Adventurer's Backpack
Forestry:adventurerBagT2, Adventurer's Woven Backpack
Forestry:builderBag, Builder's Backpack
Forestry:builderBagT2, Builder's WovenBackpack
Forestry:cratedPeat, item.cratedPeat.name
Forestry:cratedApatite, item.cratedApatite.name
Forestry:cratedFertilizer, item.cratedFertilizer.name
Forestry:cratedMulch, item.cratedMulch.name
Forestry:cratedPhosphor, item.cratedPhosphor.name
Forestry:cratedAsh, item.cratedAsh.name
Forestry:cratedTin, item.cratedTin.name
Forestry:cratedCopper, item.cratedCopper.name
Forestry:cratedBronze, item.cratedBronze.name
Forestry:cratedHumus, item.cratedHumus.name
Forestry:cratedBogearth, item.cratedBogearth.name
Forestry:cratedWheat, item.cratedWheat.name
Forestry:cratedCookies, item.cratedCookies.name
Forestry:cratedRedstone, item.cratedRedstone.name
Forestry:cratedLapis, item.cratedLapis.name
Forestry:cratedReeds, item.cratedReeds.name
Forestry:cratedClay, item.cratedClay.name
Forestry:cratedGlowstone, item.cratedGlowstone.name
Forestry:cratedApples, item.cratedApples.name
Forestry:cratedNetherwart, item.cratedNetherwart.name
Forestry:cratedCharcoal, item.cratedCharcoal.name
Forestry:cratedCoal, item.cratedCoal.name
Forestry:cratedSeeds, item.cratedSeeds.name
Forestry:cratedPotatoes, item.cratedPotatoes.name
Forestry:cratedCarrots, item.cratedCarrots.name
Forestry:cratedWood, item.cratedWood.name
Forestry:cratedSpruceWood, item.cratedSpruceWood.name
Forestry:cratedBirchWood, item.cratedBirchWood.name
Forestry:cratedJungleWood, item.cratedJungleWood.name
Forestry:cratedAcaciaWood, item.cratedAcaciaWood.name
Forestry:cratedDarkOakWood, item.cratedDarkOakWood.name
Forestry:cratedCobblestone, item.cratedCobblestone.name
Forestry:cratedDirt, item.cratedDirt.name
Forestry:cratedPodzol, item.cratedPodzol.name
Forestry:cratedStone, item.cratedStone.name
Forestry:cratedBrick, item.cratedBrick.name
Forestry:cratedCacti, item.cratedCacti.name
Forestry:cratedSand, item.cratedSand.name
Forestry:cratedRedSand, item.cratedRedSand.name
Forestry:cratedObsidian, item.cratedObsidian.name
Forestry:cratedNetherrack, item.cratedNetherrack.name
Forestry:cratedSoulsand, item.cratedSoulsand.name
Forestry:cratedSandstone, item.cratedSandstone.name
Forestry:cratedNetherbrick, item.cratedNetherbrick.name
Forestry:cratedMycelium, item.cratedMycelium.name
Forestry:cratedGravel, item.cratedGravel.name
Forestry:cratedSaplings, item.cratedSaplings.name
Forestry:cratedSpruceSapling, item.cratedSpruceSapling.name
Forestry:cratedBirchSapling, item.cratedBirchSapling.name
Forestry:cratedJungleSapling, item.cratedJungleSapling.name
Forestry:cratedAcaciaSapling, item.cratedAcaciaSapling.name
Forestry:cratedDarkOakSapling, item.cratedDarkOakSapling.name
Forestry:cratedBeeswax, item.cratedBeeswax.name
Forestry:cratedPollen, item.cratedPollen.name
Forestry:cratedCrystallinePollen, item.cratedCrystallinePollen.name
Forestry:cratedPropolis, item.cratedPropolis.name
Forestry:cratedHoneydew, item.cratedHoneydew.name
Forestry:cratedRoyalJelly, item.cratedRoyalJelly.name
Forestry:cratedHoneycombs, item.cratedHoneycombs.name
Forestry:cratedCocoaComb, item.cratedCocoaComb.name
Forestry:cratedSimmeringCombs, item.cratedSimmeringCombs.name
Forestry:cratedStringyCombs, item.cratedStringyCombs.name
Forestry:cratedFrozenCombs, item.cratedFrozenCombs.name
Forestry:cratedDrippingCombs, item.cratedDrippingCombs.name
Forestry:cratedSilkyCombs, item.cratedSilkyCombs.name
Forestry:cratedParchedCombs, item.cratedParchedCombs.name
Forestry:cratedMysteriousCombs, item.cratedMysteriousCombs.name
Forestry:cratedPowderyCombs, item.cratedPowderyCombs.name
Forestry:cratedWheatenCombs, item.cratedWheatenCombs.name
Forestry:cratedMossyCombs, item.cratedMossyCombs.name
Forestry:cratedMellowCombs, item.cratedMellowCombs.name
Forestry:cratedRefractoryWax, item.cratedRefractoryWax.name
Forestry:cratedCherry, item.cratedCherry.name
Forestry:cratedWalnut, item.cratedWalnut.name
Forestry:cratedChestnut, item.cratedChestnut.name
Forestry:cratedLemon, item.cratedLemon.name
Forestry:cratedPlum, item.cratedPlum.name
Forestry:cratedPapaya, item.cratedPapaya.name
Forestry:cratedDates, item.cratedDates.name
Forestry:cratedNaturaBerryBlight, item.cratedNaturaBerryBlight.name
Forestry:cratedNaturaBerryDusk, item.cratedNaturaBerryDusk.name
Forestry:cratedNaturaBerrySky, item.cratedNaturaBerrySky.name
Forestry:cratedNaturaBerrySting, item.cratedNaturaBerrySting.name
Forestry:cratedNaturaBerryRasp, item.cratedNaturaBerryRasp.name
Forestry:cratedNaturaBerryBlue, item.cratedNaturaBerryBlue.name
Forestry:cratedNaturaBerryBlack, item.cratedNaturaBerryBlack.name
Forestry:cratedNaturaBerryMalo, item.cratedNaturaBerryMalo.name
Forestry:cratedNaturaBarley, item.cratedNaturaBarley.name
Forestry:cratedNaturaSaplingRedwood, item.cratedNaturaSaplingRedwood.name
Forestry:cratedNaturaSaplingEucalyptus, item.cratedNaturaSaplingEucalyptus.name
Forestry:cratedNaturaSaplingHopseed, item.cratedNaturaSaplingHopseed.name
Forestry:cratedNaturaSaplingSakura, item.cratedNaturaSaplingSakura.name
Forestry:cratedNaturaSaplingGhostwood, item.cratedNaturaSaplingGhostwood.name
Forestry:cratedNaturaSaplingBlood, item.cratedNaturaSaplingBlood.name
Forestry:cratedNaturaSaplingDarkwood, item.cratedNaturaSaplingDarkwood.name
Forestry:cratedNaturaSaplingFusewood, item.cratedNaturaSaplingFusewood.name
Forestry:cratedNaturaSaplingMaple, item.cratedNaturaSaplingMaple.name
Forestry:cratedNaturaSaplingSilverbell, item.cratedNaturaSaplingSilverbell.name
Forestry:cratedNaturaSaplingPurpleheart, item.cratedNaturaSaplingPurpleheart.name
Forestry:cratedNaturaSaplingTiger, item.cratedNaturaSaplingTiger.name
Forestry:cratedNaturaSaplingWillow, item.cratedNaturaSaplingWillow.name
Forestry:cratedNaturaPotashApple, item.cratedNaturaPotashApple.name
Forestry:cratedNaturaGreenGlowshroom, item.cratedNaturaGreenGlowshroom.name
Forestry:cratedNaturaPurpleGlowshroom, item.cratedNaturaPurpleGlowshroom.name
Forestry:cratedNaturaBlueGlowshroom, item.cratedNaturaBlueGlowshroom.name
Forestry:cratedNaturaLogEucalyptus, item.cratedNaturaLogEucalyptus.name
Forestry:cratedNaturaLogSakura, item.cratedNaturaLogSakura.name
Forestry:cratedNaturaLogGhostwood, item.cratedNaturaLogGhostwood.name
Forestry:cratedNaturaLogHopseed, item.cratedNaturaLogHopseed.name
Forestry:cratedNaturaLogWillow, item.cratedNaturaLogWillow.name
Forestry:cratedNaturaLogBloodwood, item.cratedNaturaLogBloodwood.name
Forestry:cratedNaturaLogDarkwood, item.cratedNaturaLogDarkwood.name
Forestry:cratedNaturaLogFusewood, item.cratedNaturaLogFusewood.name
Forestry:cratedNaturaBlockHeatsand, item.cratedNaturaBlockHeatsand.name
Forestry:cratedNaturaBlockTainted, item.cratedNaturaBlockTainted.name
BinnieCore:containerBucket:64, extrabees.acid Bucket
BinnieCore:containerBucket:65, Poison Bucket
BinnieCore:containerBucket:66, extrabees.glacial Bucket
BinnieCore:containerBucket:128, Sap Bucket
BinnieCore:containerBucket:129, Resin Bucket
BinnieCore:containerBucket:130, Latex Bucket
BinnieCore:containerBucket:131, Turpentine Bucket
BinnieCore:containerCapsule:64, extrabees.acid Capsule
BinnieCore:containerCapsule:65, Poison Capsule
BinnieCore:containerCapsule:66, extrabees.glacial Capsule
BinnieCore:containerCapsule:128, Sap Capsule
BinnieCore:containerCapsule:129, Resin Capsule
BinnieCore:containerCapsule:130, Latex Capsule
BinnieCore:containerCapsule:131, Turpentine Capsule
BinnieCore:containerRefractory:64, extrabees.acid Capsule
BinnieCore:containerRefractory:65, Poison Capsule
BinnieCore:containerRefractory:66, extrabees.glacial Capsule
BinnieCore:containerCan:64, extrabees.acid Can
BinnieCore:containerCan:65, Poison Can
BinnieCore:containerCan:66, extrabees.glacial Can
BinnieCore:containerCan:128, Sap Can
BinnieCore:containerCan:129, Resin Can
BinnieCore:containerCan:130, Latex Can
BinnieCore:containerCan:131, Turpentine Can
BinnieCore:containerGlass:256, Apple Juice Bottle
BinnieCore:containerGlass:257, Apricot Juice Bottle
BinnieCore:containerGlass:258, Banana Juice Bottle
BinnieCore:containerGlass:259, Cherry Juice Bottle
BinnieCore:containerGlass:260, Elderberry Juice Bottle
BinnieCore:containerGlass:261, Lemon Juice Bottle
BinnieCore:containerGlass:262, Lime Juice Bottle
BinnieCore:containerGlass:263, Orange Juice Bottle
BinnieCore:containerGlass:264, Peach Juice Bottle
BinnieCore:containerGlass:265, Plum Juice Bottle
BinnieCore:containerGlass:266, Carrot Juice Bottle
BinnieCore:containerGlass:267, Tomato Juice Bottle
BinnieCore:containerGlass:268, Cranberry Juice Bottle
BinnieCore:containerGlass:269, Grapefruit Juice Bottle
BinnieCore:containerGlass:270, Olive Oil Bottle
BinnieCore:containerGlass:271, Pineapple Juice Bottle
BinnieCore:containerGlass:272, Pear Juice Bottle
BinnieCore:containerGlass:273, White Grape Juice Bottle
BinnieCore:containerGlass:274, Red Grape Juice Bottle
BinnieCore:containerGlass:384, Cider Bottle
BinnieCore:containerGlass:385, Apricot Wine Bottle
